Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Tadahiro Kosaka,M,28.0,179.0,65.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 50 kilometres Walk,No Medal,179.0,65.0
Marano Bucio Ramrez,M,33.0,168.0,72.0,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,168.0,72.0
Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",No Medal,171.0,65.0
Sebastian Fleischer,M,18.0,179.0,74.0,Denmark,DEN,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Windsurfer,No Medal,179.0,74.0
Franco De Pedrina,M,23.0,184.0,83.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,Silver,184.0,83.0
Aleksi Benianidze,M,22.0,184.0,80.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,184.0,80.0
Jean-Fernand Leischen,M,32.0,175.0,70.0,Luxembourg,LUX,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Individual",No Medal,175.0,70.0
Javier Carbayeda Echeverra,M,21.0,178.0,68.0,Spain,ESP,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,No Medal,178.0,68.0
Jos Ferraioli,M,20.0,180.0,77.0,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,180.0,77.0
Herbert Hohenberger,M,25.0,182.0,88.0,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,182.0,88.0
